final_model: node1 | Test Loss: 0.64272 | Test acc: 66.168 
final_model: node2 | Test Loss: 0.81434 | Test acc: 33.785 
final_model: node3 | Test Loss: 0.81676 | Test acc: 33.635 

block: 3 node: node2 | Test Loss: 0.64644 | Test acc: 65.079 
block: 3 node: node1 | Test Loss: 0.79426 | Test acc: 34.944 
block: 3 node: node3 | Test Loss: 0.64491 | Test acc: 65.126

block: 4 node: node3 | Test Loss: 0.65403 | Test acc: 60.503 
block: 4 node: node1 | Test Loss: 0.77116 | Test acc: 39.740 
block: 4 node: node2 | Test Loss: 0.65520 | Test acc: 60.885 

final_model: node1 | Test Loss: 0.76030 | Test acc: 36.520 
final_model: node2 | Test Loss: 0.65505 | Test acc: 63.538 
final_model: node3 | Test Loss: 0.65391 | Test acc: 63.770 

block: 6 node: node2 | Test Loss: 0.65093 | Test acc: 64.176 
block: 6 node: node1 | Test Loss: 0.80239 | Test acc: 35.627 
block: 6 node: node3 | Test Loss: 0.64884 | Test acc: 65.160 

block: 7 node: node3 | Test Loss: 0.64004 | Test acc: 66.377 
block: 7 node: node1 | Test Loss: 0.81175 | Test acc: 34.260 
block: 7 node: node2 | Test Loss: 0.64258 | Test acc: 65.983 

final_model: node1 | Test Loss: 0.78368 | Test acc: 33.403 
final_model: node2 | Test Loss: 0.64632 | Test acc: 66.539 
final_model: node3 | Test Loss: 0.64410 | Test acc: 66.933 

block: 9 node: node2 | Test Loss: 0.61625 | Test acc: 66.493 
block: 9 node: node1 | Test Loss: 0.92614 | Test acc: 33.588 
block: 9 node: node3 | Test Loss: 0.61408 | Test acc: 66.609 

block: 10 node: node3 | Test Loss: 0.65653 | Test acc: 57.201 
block: 10 node: node1 | Test Loss: 0.82309 | Test acc: 43.182 
block: 10 node: node2 | Test Loss: 0.65898 | Test acc: 57.027 

final_model: node1 | Test Loss: 0.78135 | Test acc: 40.389 
final_model: node2 | Test Loss: 0.65533 | Test acc: 60.109 
final_model: node3 | Test Loss: 0.65383 | Test acc: 59.831 

block: 12 node: node2 | Test Loss: 0.65701 | Test acc: 58.498 
block: 12 node: node1 | Test Loss: 0.76913 | Test acc: 42.023 
block: 12 node: node3 | Test Loss: 0.65488 | Test acc: 58.186 

block: 13 node: node3 | Test Loss: 0.60847 | Test acc: 69.517 
block: 13 node: node1 | Test Loss: 0.87649 | Test acc: 30.808 
block: 13 node: node2 | Test Loss: 0.61076 | Test acc: 69.679 

final_model: node1 | Test Loss: 0.83178 | Test acc: 36.033 
final_model: node2 | Test Loss: 0.62521 | Test acc: 64.083 
final_model: node3 | Test Loss: 0.62408 | Test acc: 64.280 

block: 15 node: node2 | Test Loss: 0.53675 | Test acc: 78.149 
block: 15 node: node1 | Test Loss: 1.14615 | Test acc: 22.257 
block: 15 node: node3 | Test Loss: 0.53043 | Test acc: 78.450 

block: 16 node: node3 | Test Loss: 0.57280 | Test acc: 70.270 
block: 16 node: node1 | Test Loss: 1.14614 | Test acc: 30.703 
