=== Energy Consumption Metrics ===

Total Duration: 33206.54 seconds
Average CPU Power: 0.70 Watts
Average RAM Power: 4.16 Watts
Average GPU Power: 40.51 Watts
Total Energy Consumption: 1.5066 Mega Joules

=== Detailed Measurements ===
Round global, start: 23.35W (CPU: 4.11W, RAM: 1.97W, GPU: 17.27W)
Round 0, initial_setup_start: 19.24W (CPU: 0.00W, RAM: 1.97W, GPU: 17.27W)
Round 0, initial_setup_complete: 60.36W (CPU: 0.21W, RAM: 2.26W, GPU: 57.90W)
Round 1, cluster_generation_start: 21.65W (CPU: 0.03W, RAM: 2.29W, GPU: 19.33W)
Round 1, cluster_generation_complete: 21.62W (CPU: 0.00W, RAM: 2.29W, GPU: 19.33W)
Round 1, node_1_training_start: 21.62W (CPU: 0.00W, RAM: 2.29W, GPU: 19.33W)
Round 1, node_1_training_complete: 71.92W (CPU: 2.01W, RAM: 2.59W, GPU: 67.32W)
Round 1, node_1_smpc_start: 69.91W (CPU: 0.00W, RAM: 2.59W, GPU: 67.32W)
Round 1, node_1_smpc_complete: 22.76W (CPU: 0.12W, RAM: 2.60W, GPU: 20.04W)
Round 1, node_2_training_start: 22.39W (CPU: 0.00W, RAM: 2.60W, GPU: 19.79W)
Round 1, node_2_training_complete: 66.64W (CPU: 1.89W, RAM: 2.81W, GPU: 61.94W)
Round 1, node_2_smpc_start: 64.75W (CPU: 0.00W, RAM: 2.81W, GPU: 61.94W)
Round 1, node_2_smpc_complete: 22.71W (CPU: 0.09W, RAM: 2.85W, GPU: 19.77W)
Round 1, node_3_training_start: 22.63W (CPU: 0.00W, RAM: 2.85W, GPU: 19.78W)
Round 1, node_3_training_complete: 66.94W (CPU: 1.89W, RAM: 2.99W, GPU: 62.06W)
Round 1, node_3_smpc_start: 75.04W (CPU: 9.99W, RAM: 2.99W, GPU: 62.06W)
Round 1, node_3_smpc_complete: 23.26W (CPU: 0.09W, RAM: 2.99W, GPU: 20.18W)
Round 1, aggregation_start: 22.78W (CPU: 0.03W, RAM: 2.99W, GPU: 19.76W)
Round 1, aggregation_complete: 24.18W (CPU: 1.32W, RAM: 3.01W, GPU: 19.85W)
Round 2, cluster_generation_start: 22.55W (CPU: 0.03W, RAM: 3.04W, GPU: 19.48W)
Round 2, cluster_generation_complete: 22.52W (CPU: 0.00W, RAM: 3.04W, GPU: 19.48W)
Round 2, node_1_training_start: 22.52W (CPU: 0.00W, RAM: 3.04W, GPU: 19.48W)
Round 2, node_1_training_complete: 77.67W (CPU: 1.98W, RAM: 3.23W, GPU: 72.45W)
Round 2, node_1_smpc_start: 75.69W (CPU: 0.00W, RAM: 3.23W, GPU: 72.45W)
Round 2, node_1_smpc_complete: 22.42W (CPU: 0.09W, RAM: 3.22W, GPU: 19.10W)
Round 2, node_2_training_start: 22.48W (CPU: 0.00W, RAM: 3.22W, GPU: 19.26W)
Round 2, node_2_training_complete: 74.90W (CPU: 1.89W, RAM: 3.31W, GPU: 69.70W)
Round 2, node_2_smpc_start: 73.01W (CPU: 0.00W, RAM: 3.31W, GPU: 69.70W)
Round 2, node_2_smpc_complete: 23.52W (CPU: 0.09W, RAM: 3.33W, GPU: 20.10W)
Round 2, node_3_training_start: 22.95W (CPU: 0.00W, RAM: 3.33W, GPU: 19.62W)
Round 2, node_3_training_complete: 78.23W (CPU: 1.89W, RAM: 3.38W, GPU: 72.96W)
Round 2, node_3_smpc_start: 91.34W (CPU: 15.00W, RAM: 3.38W, GPU: 72.96W)
Round 2, node_3_smpc_complete: 23.08W (CPU: 0.09W, RAM: 3.41W, GPU: 19.59W)
Round 2, aggregation_start: 23.02W (CPU: 0.00W, RAM: 3.41W, GPU: 19.61W)
Round 2, aggregation_complete: 25.64W (CPU: 1.38W, RAM: 3.41W, GPU: 20.85W)
Round 3, cluster_generation_start: 23.41W (CPU: 0.03W, RAM: 3.42W, GPU: 19.96W)
Round 3, cluster_generation_complete: 23.38W (CPU: 0.00W, RAM: 3.42W, GPU: 19.96W)
Round 3, node_1_training_start: 23.38W (CPU: 0.00W, RAM: 3.42W, GPU: 19.96W)
Round 3, node_1_training_complete: 74.07W (CPU: 1.98W, RAM: 3.55W, GPU: 68.54W)
Round 3, node_1_smpc_start: 72.09W (CPU: 0.00W, RAM: 3.55W, GPU: 68.54W)
Round 3, node_1_smpc_complete: 23.38W (CPU: 0.09W, RAM: 3.53W, GPU: 19.76W)
Round 3, node_2_training_start: 22.79W (CPU: 0.00W, RAM: 3.53W, GPU: 19.27W)
Round 3, node_2_training_complete: 77.43W (CPU: 1.89W, RAM: 3.59W, GPU: 71.95W)
Round 3, node_2_smpc_start: 75.54W (CPU: 0.00W, RAM: 3.59W, GPU: 71.95W)
Round 3, node_2_smpc_complete: 23.36W (CPU: 0.09W, RAM: 3.61W, GPU: 19.66W)
Round 3, node_3_training_start: 22.98W (CPU: 0.00W, RAM: 3.61W, GPU: 19.37W)
Round 3, node_3_training_complete: 76.21W (CPU: 1.89W, RAM: 3.69W, GPU: 70.63W)
Round 3, node_3_smpc_start: 74.32W (CPU: 0.00W, RAM: 3.69W, GPU: 70.63W)
Round 3, node_3_smpc_complete: 22.86W (CPU: 0.09W, RAM: 3.69W, GPU: 19.08W)
Round 3, aggregation_start: 22.71W (CPU: 0.00W, RAM: 3.69W, GPU: 19.02W)
Round 3, aggregation_complete: 25.43W (CPU: 1.38W, RAM: 3.69W, GPU: 20.36W)
Round 4, cluster_generation_start: 23.41W (CPU: 0.03W, RAM: 3.70W, GPU: 19.69W)
Round 4, cluster_generation_complete: 23.38W (CPU: 0.00W, RAM: 3.70W, GPU: 19.69W)
Round 4, node_1_training_start: 23.38W (CPU: 0.00W, RAM: 3.70W, GPU: 19.69W)
Round 4, node_1_training_complete: 77.74W (CPU: 1.92W, RAM: 3.75W, GPU: 72.06W)
Round 4, node_1_smpc_start: 75.82W (CPU: 0.00W, RAM: 3.75W, GPU: 72.06W)
Round 4, node_1_smpc_complete: 23.20W (CPU: 0.09W, RAM: 3.74W, GPU: 19.37W)
Round 4, node_2_training_start: 23.07W (CPU: 0.00W, RAM: 3.74W, GPU: 19.33W)
Round 4, node_2_training_complete: 77.64W (CPU: 1.89W, RAM: 3.83W, GPU: 71.91W)
Round 4, node_2_smpc_start: 75.75W (CPU: 0.00W, RAM: 3.83W, GPU: 71.91W)
Round 4, node_2_smpc_complete: 23.58W (CPU: 0.09W, RAM: 3.83W, GPU: 19.66W)
Round 4, node_3_training_start: 23.40W (CPU: 0.03W, RAM: 3.83W, GPU: 19.54W)
Round 4, node_3_training_complete: 79.27W (CPU: 1.89W, RAM: 3.87W, GPU: 73.51W)
Round 4, node_3_smpc_start: 77.38W (CPU: 0.00W, RAM: 3.87W, GPU: 73.51W)
Round 4, node_3_smpc_complete: 23.50W (CPU: 0.09W, RAM: 3.88W, GPU: 19.53W)
Round 4, aggregation_start: 23.33W (CPU: 0.00W, RAM: 3.88W, GPU: 19.45W)
Round 4, aggregation_complete: 25.49W (CPU: 1.38W, RAM: 3.88W, GPU: 20.24W)
Round 5, cluster_generation_start: 23.91W (CPU: 0.03W, RAM: 3.87W, GPU: 20.01W)
Round 5, cluster_generation_complete: 23.88W (CPU: 0.00W, RAM: 3.87W, GPU: 20.01W)
Round 5, node_1_training_start: 23.88W (CPU: 0.00W, RAM: 3.87W, GPU: 20.01W)
Round 5, node_1_training_complete: 78.21W (CPU: 1.95W, RAM: 3.94W, GPU: 72.32W)
Round 5, node_1_smpc_start: 76.26W (CPU: 0.00W, RAM: 3.94W, GPU: 72.32W)
Round 5, node_1_smpc_complete: 23.82W (CPU: 0.09W, RAM: 3.90W, GPU: 19.83W)
Round 5, node_2_training_start: 23.63W (CPU: 0.00W, RAM: 3.90W, GPU: 19.73W)
Round 5, node_2_training_complete: 73.09W (CPU: 1.89W, RAM: 3.92W, GPU: 67.29W)
Round 5, node_2_smpc_start: 71.20W (CPU: 0.00W, RAM: 3.92W, GPU: 67.29W)
Round 5, node_2_smpc_complete: 24.16W (CPU: 0.09W, RAM: 3.94W, GPU: 20.14W)
Round 5, node_3_training_start: 23.30W (CPU: 0.00W, RAM: 3.93W, GPU: 19.37W)
Round 5, node_3_training_complete: 77.34W (CPU: 1.89W, RAM: 3.95W, GPU: 71.50W)
Round 5, node_3_smpc_start: 75.45W (CPU: 0.00W, RAM: 3.95W, GPU: 71.50W)
Round 5, node_3_smpc_complete: 23.59W (CPU: 0.09W, RAM: 3.95W, GPU: 19.55W)
Round 5, aggregation_start: 23.48W (CPU: 0.00W, RAM: 3.95W, GPU: 19.53W)
Round 5, aggregation_complete: 24.70W (CPU: 1.41W, RAM: 3.95W, GPU: 19.34W)
Round 6, cluster_generation_start: 24.79W (CPU: 0.03W, RAM: 3.95W, GPU: 20.81W)
Round 6, cluster_generation_complete: 30.76W (CPU: 6.00W, RAM: 3.95W, GPU: 20.81W)
Round 6, node_1_training_start: 24.76W (CPU: 0.00W, RAM: 3.95W, GPU: 20.81W)
Round 6, node_1_training_complete: 75.27W (CPU: 1.98W, RAM: 3.97W, GPU: 69.32W)
Round 6, node_1_smpc_start: 73.29W (CPU: 0.00W, RAM: 3.97W, GPU: 69.32W)
Round 6, node_1_smpc_complete: 24.03W (CPU: 0.09W, RAM: 3.98W, GPU: 19.96W)
Round 6, node_2_training_start: 24.05W (CPU: 0.00W, RAM: 3.97W, GPU: 20.07W)
Round 6, node_2_training_complete: 75.11W (CPU: 1.89W, RAM: 3.99W, GPU: 69.23W)
Round 6, node_2_smpc_start: 73.22W (CPU: 0.00W, RAM: 3.99W, GPU: 69.23W)
Round 6, node_2_smpc_complete: 24.07W (CPU: 0.09W, RAM: 3.98W, GPU: 20.00W)
Round 6, node_3_training_start: 24.11W (CPU: 0.00W, RAM: 3.98W, GPU: 20.12W)
Round 6, node_3_training_complete: 74.48W (CPU: 1.86W, RAM: 3.99W, GPU: 68.63W)
Round 6, node_3_smpc_start: 72.62W (CPU: 0.00W, RAM: 3.99W, GPU: 68.63W)
Round 6, node_3_smpc_complete: 24.33W (CPU: 0.09W, RAM: 4.00W, GPU: 20.24W)
Round 6, aggregation_start: 23.28W (CPU: 0.00W, RAM: 4.00W, GPU: 19.28W)
Round 6, aggregation_complete: 24.91W (CPU: 1.35W, RAM: 4.00W, GPU: 19.56W)
Round 7, cluster_generation_start: 25.28W (CPU: 0.03W, RAM: 3.99W, GPU: 21.25W)
