=== Energy Consumption Metrics ===

Total Duration: 33156.15 seconds
Average CPU Power: 1.01 Watts
Average RAM Power: 2.72 Watts
Average GPU Power: 51.85 Watts
Total Energy Consumption: 1.8428 Mega Joules

=== Detailed Measurements ===
Round global, start: 24.34W (CPU: 4.11W, RAM: 0.39W, GPU: 19.84W)
Round 0, initial_setup_start: 20.23W (CPU: 0.00W, RAM: 0.39W, GPU: 19.84W)
Round 0, initial_setup_complete: 62.56W (CPU: 0.81W, RAM: 0.69W, GPU: 61.07W)
Round 1, cluster_generation_start: 22.28W (CPU: 0.03W, RAM: 0.72W, GPU: 21.54W)
Round 1, cluster_generation_complete: 22.25W (CPU: 0.00W, RAM: 0.72W, GPU: 21.54W)
Round 1, node_1_training_start: 22.25W (CPU: 0.00W, RAM: 0.72W, GPU: 21.54W)
Round 1, node_1_training_complete: 71.25W (CPU: 1.89W, RAM: 1.02W, GPU: 68.33W)
Round 1, node_1_smpc_start: 69.36W (CPU: 0.00W, RAM: 1.02W, GPU: 68.33W)
Round 1, node_1_smpc_complete: 22.59W (CPU: 0.09W, RAM: 1.01W, GPU: 21.50W)
Round 1, node_2_training_start: 22.23W (CPU: 0.00W, RAM: 1.01W, GPU: 21.22W)
Round 1, node_2_training_complete: 70.52W (CPU: 1.89W, RAM: 1.22W, GPU: 67.42W)
Round 1, node_2_smpc_start: 68.63W (CPU: 0.00W, RAM: 1.22W, GPU: 67.42W)
Round 1, node_2_smpc_complete: 22.88W (CPU: 0.09W, RAM: 1.23W, GPU: 21.56W)
Round 1, node_3_training_start: 22.71W (CPU: 0.00W, RAM: 1.23W, GPU: 21.48W)
Round 1, node_3_training_complete: 73.05W (CPU: 1.89W, RAM: 1.40W, GPU: 69.76W)
Round 1, node_3_smpc_start: 71.16W (CPU: 0.00W, RAM: 1.40W, GPU: 69.76W)
Round 1, node_3_smpc_complete: 22.65W (CPU: 0.09W, RAM: 1.44W, GPU: 21.13W)
Round 1, aggregation_start: 22.25W (CPU: 0.00W, RAM: 1.44W, GPU: 20.82W)
Round 1, aggregation_complete: 24.42W (CPU: 1.35W, RAM: 1.45W, GPU: 21.62W)
Round 2, cluster_generation_start: 22.81W (CPU: 0.03W, RAM: 1.47W, GPU: 21.31W)
Round 2, cluster_generation_complete: 22.78W (CPU: 0.00W, RAM: 1.47W, GPU: 21.31W)
Round 2, node_1_training_start: 22.78W (CPU: 0.00W, RAM: 1.47W, GPU: 21.31W)
Round 2, node_1_training_complete: 77.70W (CPU: 1.92W, RAM: 1.65W, GPU: 74.12W)
Round 2, node_1_smpc_start: 75.78W (CPU: 0.00W, RAM: 1.65W, GPU: 74.12W)
Round 2, node_1_smpc_complete: 22.97W (CPU: 0.09W, RAM: 1.65W, GPU: 21.23W)
Round 2, node_2_training_start: 22.67W (CPU: 0.00W, RAM: 1.65W, GPU: 21.02W)
Round 2, node_2_training_complete: 97.39W (CPU: 1.89W, RAM: 1.74W, GPU: 93.76W)
Round 2, node_2_smpc_start: 95.50W (CPU: 0.00W, RAM: 1.74W, GPU: 93.76W)
Round 2, node_2_smpc_complete: 22.64W (CPU: 0.09W, RAM: 1.75W, GPU: 20.80W)
Round 2, node_3_training_start: 23.03W (CPU: 0.00W, RAM: 1.75W, GPU: 21.28W)
Round 2, node_3_training_complete: 80.24W (CPU: 1.86W, RAM: 1.80W, GPU: 76.58W)
Round 2, node_3_smpc_start: 78.38W (CPU: 0.00W, RAM: 1.80W, GPU: 76.58W)
Round 2, node_3_smpc_complete: 22.78W (CPU: 0.09W, RAM: 1.82W, GPU: 20.88W)
Round 2, aggregation_start: 22.66W (CPU: 0.00W, RAM: 1.82W, GPU: 20.84W)
Round 2, aggregation_complete: 24.07W (CPU: 1.32W, RAM: 1.82W, GPU: 20.93W)
Round 3, cluster_generation_start: 24.69W (CPU: 0.03W, RAM: 1.84W, GPU: 22.82W)
Round 3, cluster_generation_complete: 24.66W (CPU: 0.00W, RAM: 1.84W, GPU: 22.82W)
Round 3, node_1_training_start: 24.66W (CPU: 0.00W, RAM: 1.84W, GPU: 22.82W)
Round 3, node_1_training_complete: 79.48W (CPU: 1.95W, RAM: 1.88W, GPU: 75.65W)
Round 3, node_1_smpc_start: 77.53W (CPU: 0.00W, RAM: 1.88W, GPU: 75.65W)
Round 3, node_1_smpc_complete: 22.96W (CPU: 0.09W, RAM: 1.88W, GPU: 20.99W)
Round 3, node_2_training_start: 22.90W (CPU: 0.00W, RAM: 1.88W, GPU: 21.02W)
Round 3, node_2_training_complete: 78.50W (CPU: 1.86W, RAM: 1.90W, GPU: 74.74W)
Round 3, node_2_smpc_start: 76.64W (CPU: 0.00W, RAM: 1.90W, GPU: 74.74W)
Round 3, node_2_smpc_complete: 22.90W (CPU: 0.09W, RAM: 1.92W, GPU: 20.89W)
Round 3, node_3_training_start: 22.95W (CPU: 0.00W, RAM: 1.92W, GPU: 21.03W)
Round 3, node_3_training_complete: 78.53W (CPU: 1.86W, RAM: 1.95W, GPU: 74.72W)
Round 3, node_3_smpc_start: 76.67W (CPU: 0.00W, RAM: 1.95W, GPU: 74.72W)
Round 3, node_3_smpc_complete: 23.13W (CPU: 0.09W, RAM: 1.96W, GPU: 21.08W)
Round 3, aggregation_start: 23.00W (CPU: 0.00W, RAM: 1.96W, GPU: 21.04W)
Round 3, aggregation_complete: 24.92W (CPU: 1.44W, RAM: 1.96W, GPU: 21.52W)
Round 4, cluster_generation_start: 23.18W (CPU: 0.03W, RAM: 1.95W, GPU: 21.20W)
Round 4, cluster_generation_complete: 23.15W (CPU: 0.00W, RAM: 1.95W, GPU: 21.20W)
Round 4, node_1_training_start: 23.15W (CPU: 0.00W, RAM: 1.95W, GPU: 21.20W)
Round 4, node_1_training_complete: 79.58W (CPU: 1.98W, RAM: 1.99W, GPU: 75.61W)
Round 4, node_1_smpc_start: 77.60W (CPU: 0.00W, RAM: 1.99W, GPU: 75.61W)
Round 4, node_1_smpc_complete: 22.92W (CPU: 0.09W, RAM: 1.98W, GPU: 20.85W)
Round 4, node_2_training_start: 22.95W (CPU: 0.00W, RAM: 1.98W, GPU: 20.97W)
Round 4, node_2_training_complete: 76.79W (CPU: 1.89W, RAM: 2.00W, GPU: 72.90W)
Round 4, node_2_smpc_start: 74.90W (CPU: 0.00W, RAM: 2.00W, GPU: 72.90W)
Round 4, node_2_smpc_complete: 22.94W (CPU: 0.09W, RAM: 2.01W, GPU: 20.84W)
Round 4, node_3_training_start: 23.21W (CPU: 0.03W, RAM: 2.02W, GPU: 21.16W)
Round 4, node_3_training_complete: 73.65W (CPU: 1.95W, RAM: 2.09W, GPU: 69.61W)
Round 4, node_3_smpc_start: 71.70W (CPU: 0.00W, RAM: 2.09W, GPU: 69.61W)
Round 4, node_3_smpc_complete: 23.23W (CPU: 0.09W, RAM: 2.08W, GPU: 21.06W)
Round 4, aggregation_start: 22.68W (CPU: 0.00W, RAM: 2.08W, GPU: 20.60W)
Round 4, aggregation_complete: 24.33W (CPU: 1.50W, RAM: 2.07W, GPU: 20.76W)
Round 5, cluster_generation_start: 23.22W (CPU: 0.03W, RAM: 2.08W, GPU: 21.11W)
Round 5, cluster_generation_complete: 23.19W (CPU: 0.00W, RAM: 2.08W, GPU: 21.11W)
Round 5, node_1_training_start: 23.19W (CPU: 0.00W, RAM: 2.08W, GPU: 21.11W)
Round 5, node_1_training_complete: 79.21W (CPU: 2.04W, RAM: 2.11W, GPU: 75.06W)
Round 5, node_1_smpc_start: 77.17W (CPU: 0.00W, RAM: 2.11W, GPU: 75.06W)
Round 5, node_1_smpc_complete: 23.17W (CPU: 0.12W, RAM: 2.11W, GPU: 20.94W)
Round 5, node_2_training_start: 23.10W (CPU: 0.00W, RAM: 2.11W, GPU: 20.98W)
Round 5, node_2_training_complete: 78.90W (CPU: 1.89W, RAM: 2.12W, GPU: 74.90W)
Round 5, node_2_smpc_start: 77.01W (CPU: 0.00W, RAM: 2.12W, GPU: 74.90W)
Round 5, node_2_smpc_complete: 23.35W (CPU: 0.09W, RAM: 2.13W, GPU: 21.14W)
Round 5, node_3_training_start: 22.77W (CPU: 0.00W, RAM: 2.13W, GPU: 20.64W)
Round 5, node_3_training_complete: 78.91W (CPU: 1.89W, RAM: 2.19W, GPU: 74.83W)
Round 5, node_3_smpc_start: 77.02W (CPU: 0.00W, RAM: 2.19W, GPU: 74.83W)
Round 5, node_3_smpc_complete: 22.98W (CPU: 0.12W, RAM: 2.20W, GPU: 20.66W)
Round 5, aggregation_start: 23.28W (CPU: 0.03W, RAM: 2.19W, GPU: 21.06W)
Round 5, aggregation_complete: 25.95W (CPU: 1.80W, RAM: 2.19W, GPU: 21.96W)
Round 6, cluster_generation_start: 23.46W (CPU: 0.03W, RAM: 2.20W, GPU: 21.23W)
Round 6, cluster_generation_complete: 30.93W (CPU: 7.50W, RAM: 2.20W, GPU: 21.23W)
Round 6, node_1_training_start: 23.43W (CPU: 0.00W, RAM: 2.20W, GPU: 21.23W)
Round 6, node_1_training_complete: 77.43W (CPU: 1.98W, RAM: 2.22W, GPU: 73.24W)
Round 6, node_1_smpc_start: 75.45W (CPU: 0.00W, RAM: 2.22W, GPU: 73.24W)
Round 6, node_1_smpc_complete: 23.16W (CPU: 0.09W, RAM: 2.24W, GPU: 20.83W)
Round 6, node_2_training_start: 22.70W (CPU: 0.00W, RAM: 2.24W, GPU: 20.46W)
Round 6, node_2_training_complete: 71.92W (CPU: 1.92W, RAM: 2.23W, GPU: 67.77W)
Round 6, node_2_smpc_start: 70.00W (CPU: 0.00W, RAM: 2.23W, GPU: 67.77W)
