=== Energy Consumption Metrics ===

Total Duration: 33140.42 seconds
Average CPU Power: 0.91 Watts
Average RAM Power: 2.79 Watts
Average GPU Power: 51.43 Watts
Total Energy Consumption: 1.8269 Mega Joules

=== Detailed Measurements ===
Round global, start: 25.81W (CPU: 4.11W, RAM: 0.40W, GPU: 21.30W)
Round 0, initial_setup_start: 22.57W (CPU: 0.87W, RAM: 0.40W, GPU: 21.30W)
Round 0, initial_setup_complete: 62.03W (CPU: 0.81W, RAM: 0.70W, GPU: 60.52W)
Round 1, cluster_generation_start: 22.33W (CPU: 0.03W, RAM: 0.72W, GPU: 21.58W)
Round 1, cluster_generation_complete: 25.30W (CPU: 3.00W, RAM: 0.72W, GPU: 21.58W)
Round 1, node_1_training_start: 22.30W (CPU: 0.00W, RAM: 0.72W, GPU: 21.58W)
Round 1, node_1_training_complete: 68.28W (CPU: 1.95W, RAM: 1.02W, GPU: 65.31W)
Round 1, node_1_smpc_start: 66.33W (CPU: 0.00W, RAM: 1.02W, GPU: 65.31W)
Round 1, node_1_smpc_complete: 21.89W (CPU: 0.15W, RAM: 1.13W, GPU: 20.61W)
Round 1, node_2_training_start: 74.89W (CPU: 1.11W, RAM: 1.62W, GPU: 72.15W)
Round 1, node_2_training_complete: 101.45W (CPU: 3.96W, RAM: 1.81W, GPU: 95.67W)
Round 1, node_2_smpc_start: 97.49W (CPU: 0.00W, RAM: 1.81W, GPU: 95.67W)
Round 1, node_2_smpc_complete: 65.45W (CPU: 1.77W, RAM: 1.96W, GPU: 61.72W)
Round 1, node_3_training_start: 78.36W (CPU: 1.11W, RAM: 2.01W, GPU: 75.25W)
Round 1, node_3_training_complete: 111.29W (CPU: 3.99W, RAM: 2.22W, GPU: 105.09W)
Round 1, node_3_smpc_start: 107.30W (CPU: 0.00W, RAM: 2.22W, GPU: 105.09W)
Round 1, node_3_smpc_complete: 83.00W (CPU: 1.68W, RAM: 2.34W, GPU: 78.98W)
Round 1, aggregation_start: 93.14W (CPU: 1.38W, RAM: 2.34W, GPU: 89.42W)
Round 1, aggregation_complete: 94.85W (CPU: 2.64W, RAM: 2.35W, GPU: 89.85W)
Round 2, cluster_generation_start: 92.78W (CPU: 1.35W, RAM: 2.38W, GPU: 89.06W)
Round 2, cluster_generation_complete: 97.43W (CPU: 6.00W, RAM: 2.38W, GPU: 89.06W)
Round 2, node_1_training_start: 91.43W (CPU: 0.00W, RAM: 2.38W, GPU: 89.06W)
Round 2, node_1_training_complete: 79.92W (CPU: 2.94W, RAM: 2.55W, GPU: 74.44W)
Round 2, node_1_smpc_start: 76.98W (CPU: 0.00W, RAM: 2.55W, GPU: 74.44W)
Round 2, node_1_smpc_complete: 79.14W (CPU: 1.59W, RAM: 2.58W, GPU: 74.97W)
Round 2, node_2_training_start: 73.91W (CPU: 1.95W, RAM: 2.58W, GPU: 69.38W)
Round 2, node_2_training_complete: 115.41W (CPU: 3.51W, RAM: 2.70W, GPU: 109.21W)
Round 2, node_2_smpc_start: 111.90W (CPU: 0.00W, RAM: 2.70W, GPU: 109.21W)
Round 2, node_2_smpc_complete: 65.36W (CPU: 1.44W, RAM: 2.76W, GPU: 61.16W)
Round 2, node_3_training_start: 77.41W (CPU: 0.96W, RAM: 2.78W, GPU: 73.66W)
Round 2, node_3_training_complete: 118.37W (CPU: 3.96W, RAM: 2.87W, GPU: 111.54W)
Round 2, node_3_smpc_start: 114.41W (CPU: 0.00W, RAM: 2.87W, GPU: 111.54W)
Round 2, node_3_smpc_complete: 96.28W (CPU: 1.62W, RAM: 2.91W, GPU: 91.75W)
Round 2, aggregation_start: 95.34W (CPU: 1.35W, RAM: 2.91W, GPU: 91.08W)
Round 2, aggregation_complete: 96.88W (CPU: 2.34W, RAM: 2.91W, GPU: 91.62W)
Round 3, cluster_generation_start: 65.40W (CPU: 0.54W, RAM: 2.93W, GPU: 61.93W)
Round 3, cluster_generation_complete: 70.86W (CPU: 6.00W, RAM: 2.93W, GPU: 61.93W)
Round 3, node_1_training_start: 64.86W (CPU: 0.00W, RAM: 2.93W, GPU: 61.93W)
Round 3, node_1_training_complete: 118.57W (CPU: 3.36W, RAM: 3.07W, GPU: 112.14W)
Round 3, node_1_smpc_start: 115.21W (CPU: 0.00W, RAM: 3.07W, GPU: 112.14W)
