=== Energy Consumption Metrics ===

Total Duration: 16536.28 seconds
Average CPU Power: 0.63 Watts
Average RAM Power: 1.68 Watts
Average GPU Power: 54.82 Watts
Total Energy Consumption: 0.9446 Mega Joules

=== Detailed Measurements ===
Round global, start: 22.42W (CPU: 4.05W, RAM: 0.42W, GPU: 17.94W)
Round 0, initial_setup_start: 18.37W (CPU: 0.00W, RAM: 0.43W, GPU: 17.94W)
Round 0, initial_setup_complete: 60.97W (CPU: 0.57W, RAM: 0.72W, GPU: 59.68W)
Round 1, cluster_generation_start: 21.78W (CPU: 0.03W, RAM: 0.74W, GPU: 21.00W)
Round 1, cluster_generation_complete: 21.75W (CPU: 0.00W, RAM: 0.74W, GPU: 21.00W)
Round 1, node_1_training_start: 21.75W (CPU: 0.00W, RAM: 0.74W, GPU: 21.00W)
Round 1, node_1_training_complete: 113.66W (CPU: 1.86W, RAM: 0.88W, GPU: 110.91W)
Round 1, node_1_smpc_start: 111.80W (CPU: 0.00W, RAM: 0.88W, GPU: 110.91W)
Round 1, node_1_smpc_complete: 21.42W (CPU: 0.09W, RAM: 0.85W, GPU: 20.48W)
Round 1, node_2_training_start: 21.28W (CPU: 0.00W, RAM: 0.85W, GPU: 20.43W)
Round 1, node_2_training_complete: 115.86W (CPU: 2.01W, RAM: 0.96W, GPU: 112.88W)
Round 1, node_2_smpc_start: 113.85W (CPU: 0.00W, RAM: 0.96W, GPU: 112.88W)
Round 1, node_2_smpc_complete: 22.01W (CPU: 0.09W, RAM: 0.94W, GPU: 20.98W)
Round 1, node_3_training_start: 21.43W (CPU: 0.00W, RAM: 0.94W, GPU: 20.49W)
Round 1, node_3_training_complete: 110.70W (CPU: 1.98W, RAM: 1.01W, GPU: 107.72W)
Round 1, node_3_smpc_start: 108.72W (CPU: 0.00W, RAM: 1.01W, GPU: 107.72W)
Round 1, node_3_smpc_complete: 21.82W (CPU: 0.09W, RAM: 0.98W, GPU: 20.74W)
Round 1, aggregation_start: 21.09W (CPU: 0.00W, RAM: 0.98W, GPU: 20.10W)
Round 1, aggregation_complete: 26.87W (CPU: 1.44W, RAM: 1.00W, GPU: 24.43W)
Round 2, cluster_generation_start: 21.48W (CPU: 0.03W, RAM: 1.03W, GPU: 20.41W)
Round 2, cluster_generation_complete: 21.45W (CPU: 0.00W, RAM: 1.03W, GPU: 20.41W)
Round 2, node_1_training_start: 21.45W (CPU: 0.00W, RAM: 1.03W, GPU: 20.41W)
Round 2, node_1_training_complete: 114.18W (CPU: 1.92W, RAM: 1.12W, GPU: 111.14W)
Round 2, node_1_smpc_start: 112.26W (CPU: 0.00W, RAM: 1.12W, GPU: 111.14W)
Round 2, node_1_smpc_complete: 22.00W (CPU: 0.09W, RAM: 1.06W, GPU: 20.84W)
Round 2, node_2_training_start: 21.53W (CPU: 0.00W, RAM: 1.06W, GPU: 20.47W)
Round 2, node_2_training_complete: 127.59W (CPU: 2.01W, RAM: 1.16W, GPU: 124.41W)
Round 2, node_2_smpc_start: 125.58W (CPU: 0.00W, RAM: 1.16W, GPU: 124.41W)
Round 2, node_2_smpc_complete: 21.88W (CPU: 0.09W, RAM: 1.13W, GPU: 20.66W)
Round 2, node_3_training_start: 21.81W (CPU: 0.00W, RAM: 1.13W, GPU: 20.68W)
Round 2, node_3_training_complete: 94.70W (CPU: 1.74W, RAM: 1.18W, GPU: 91.78W)
Round 2, node_3_smpc_start: 92.96W (CPU: 0.00W, RAM: 1.18W, GPU: 91.78W)
Round 2, node_3_smpc_complete: 22.13W (CPU: 0.09W, RAM: 1.16W, GPU: 20.88W)
Round 2, aggregation_start: 21.87W (CPU: 0.00W, RAM: 1.16W, GPU: 20.71W)
Round 2, aggregation_complete: 25.81W (CPU: 1.50W, RAM: 1.16W, GPU: 23.15W)
Round 3, cluster_generation_start: 22.07W (CPU: 0.03W, RAM: 1.18W, GPU: 20.86W)
Round 3, cluster_generation_complete: 22.04W (CPU: 0.00W, RAM: 1.18W, GPU: 20.86W)
Round 3, node_1_training_start: 22.04W (CPU: 0.00W, RAM: 1.18W, GPU: 20.86W)
Round 3, node_1_training_complete: 123.28W (CPU: 2.07W, RAM: 1.25W, GPU: 119.96W)
Round 3, node_1_smpc_start: 121.21W (CPU: 0.00W, RAM: 1.25W, GPU: 119.96W)
Round 3, node_1_smpc_complete: 22.17W (CPU: 0.09W, RAM: 1.22W, GPU: 20.86W)
Round 3, node_2_training_start: 21.79W (CPU: 0.00W, RAM: 1.22W, GPU: 20.57W)
Round 3, node_2_training_complete: 113.96W (CPU: 1.89W, RAM: 1.29W, GPU: 110.78W)
Round 3, node_2_smpc_start: 112.07W (CPU: 0.00W, RAM: 1.29W, GPU: 110.78W)
Round 3, node_2_smpc_complete: 21.67W (CPU: 0.09W, RAM: 1.24W, GPU: 20.33W)
Round 3, node_3_training_start: 21.79W (CPU: 0.00W, RAM: 1.24W, GPU: 20.55W)
Round 3, node_3_training_complete: 118.37W (CPU: 2.01W, RAM: 1.32W, GPU: 115.03W)
Round 3, node_3_smpc_start: 116.36W (CPU: 0.00W, RAM: 1.32W, GPU: 115.03W)
Round 3, node_3_smpc_complete: 22.20W (CPU: 0.09W, RAM: 1.29W, GPU: 20.82W)
Round 3, aggregation_start: 21.82W (CPU: 0.00W, RAM: 1.29W, GPU: 20.54W)
Round 3, aggregation_complete: 27.29W (CPU: 1.50W, RAM: 1.29W, GPU: 24.50W)
Round 4, cluster_generation_start: 21.87W (CPU: 0.03W, RAM: 1.31W, GPU: 20.54W)
Round 4, cluster_generation_complete: 21.84W (CPU: 0.00W, RAM: 1.31W, GPU: 20.54W)
Round 4, node_1_training_start: 21.84W (CPU: 0.00W, RAM: 1.31W, GPU: 20.54W)
Round 4, node_1_training_complete: 106.53W (CPU: 1.86W, RAM: 1.35W, GPU: 103.32W)
Round 4, node_1_smpc_start: 104.67W (CPU: 0.00W, RAM: 1.35W, GPU: 103.32W)
Round 4, node_1_smpc_complete: 22.19W (CPU: 0.09W, RAM: 1.33W, GPU: 20.77W)
Round 4, node_2_training_start: 22.12W (CPU: 0.00W, RAM: 1.33W, GPU: 20.79W)
Round 4, node_2_training_complete: 110.24W (CPU: 1.77W, RAM: 1.38W, GPU: 107.08W)
Round 4, node_2_smpc_start: 108.47W (CPU: 0.00W, RAM: 1.38W, GPU: 107.08W)
