=== Energy Consumption Metrics ===

Total Duration: 16849.00 seconds
Average CPU Power: 0.69 Watts
Average RAM Power: 3.05 Watts
Average GPU Power: 54.42 Watts
Total Energy Consumption: 0.9800 Mega Joules

=== Detailed Measurements ===
Round global, start: 25.46W (CPU: 4.11W, RAM: 1.93W, GPU: 19.42W)
Round 0, initial_setup_start: 22.25W (CPU: 0.90W, RAM: 1.93W, GPU: 19.42W)
Round 0, initial_setup_complete: 62.15W (CPU: 0.57W, RAM: 2.22W, GPU: 59.36W)
Round 1, cluster_generation_start: 23.22W (CPU: 0.03W, RAM: 2.24W, GPU: 20.95W)
Round 1, cluster_generation_complete: 23.19W (CPU: 0.00W, RAM: 2.24W, GPU: 20.95W)
Round 1, node_1_training_start: 23.19W (CPU: 0.00W, RAM: 2.24W, GPU: 20.95W)
Round 1, node_1_training_complete: 116.03W (CPU: 1.74W, RAM: 2.39W, GPU: 111.90W)
Round 1, node_1_smpc_start: 114.29W (CPU: 0.00W, RAM: 2.39W, GPU: 111.90W)
Round 1, node_1_smpc_complete: 22.62W (CPU: 0.09W, RAM: 2.34W, GPU: 20.19W)
Round 1, node_2_training_start: 23.08W (CPU: 0.00W, RAM: 2.34W, GPU: 20.73W)
Round 1, node_2_training_complete: 115.38W (CPU: 1.83W, RAM: 2.45W, GPU: 111.09W)
Round 1, node_2_smpc_start: 123.54W (CPU: 9.99W, RAM: 2.45W, GPU: 111.09W)
Round 1, node_2_smpc_complete: 23.67W (CPU: 0.09W, RAM: 2.40W, GPU: 21.17W)
Round 1, node_3_training_start: 23.39W (CPU: 0.00W, RAM: 2.40W, GPU: 20.99W)
Round 1, node_3_training_complete: 126.29W (CPU: 1.95W, RAM: 2.52W, GPU: 121.83W)
Round 1, node_3_smpc_start: 124.34W (CPU: 0.00W, RAM: 2.52W, GPU: 121.83W)
Round 1, node_3_smpc_complete: 23.24W (CPU: 0.09W, RAM: 2.50W, GPU: 20.65W)
