=== Energy Consumption Metrics ===

Total Duration: 16510.77 seconds
Average CPU Power: 0.70 Watts
Average RAM Power: 3.17 Watts
Average GPU Power: 54.20 Watts
Total Energy Consumption: 0.9587 Mega Joules

=== Detailed Measurements ===
Round global, start: 24.50W (CPU: 4.05W, RAM: 1.96W, GPU: 18.49W)
Round 0, initial_setup_start: 21.35W (CPU: 0.90W, RAM: 1.97W, GPU: 18.49W)
Round 0, initial_setup_complete: 61.77W (CPU: 0.57W, RAM: 2.25W, GPU: 58.95W)
Round 1, cluster_generation_start: 22.15W (CPU: 0.03W, RAM: 2.27W, GPU: 19.84W)
Round 1, cluster_generation_complete: 22.12W (CPU: 0.00W, RAM: 2.27W, GPU: 19.84W)
Round 1, node_1_training_start: 22.12W (CPU: 0.00W, RAM: 2.27W, GPU: 19.84W)
Round 1, node_1_training_complete: 118.17W (CPU: 1.98W, RAM: 2.42W, GPU: 113.77W)
Round 1, node_1_smpc_start: 116.19W (CPU: 0.00W, RAM: 2.42W, GPU: 113.77W)
Round 1, node_1_smpc_complete: 22.11W (CPU: 0.09W, RAM: 2.39W, GPU: 19.63W)
Round 1, node_2_training_start: 22.09W (CPU: 0.00W, RAM: 2.39W, GPU: 19.70W)
Round 1, node_2_training_complete: 124.39W (CPU: 1.98W, RAM: 2.49W, GPU: 119.91W)
Round 1, node_2_smpc_start: 122.41W (CPU: 0.00W, RAM: 2.49W, GPU: 119.91W)
Round 1, node_2_smpc_complete: 22.89W (CPU: 0.09W, RAM: 2.47W, GPU: 20.34W)
Round 1, node_3_training_start: 22.17W (CPU: 0.00W, RAM: 2.47W, GPU: 19.70W)
Round 1, node_3_training_complete: 125.55W (CPU: 1.98W, RAM: 2.57W, GPU: 121.00W)
Round 1, node_3_smpc_start: 133.56W (CPU: 9.99W, RAM: 2.57W, GPU: 121.00W)
Round 1, node_3_smpc_complete: 22.53W (CPU: 0.09W, RAM: 2.55W, GPU: 19.89W)
Round 1, aggregation_start: 22.26W (CPU: 0.00W, RAM: 2.55W, GPU: 19.71W)
Round 1, aggregation_complete: 25.19W (CPU: 1.47W, RAM: 2.55W, GPU: 21.16W)
Round 2, cluster_generation_start: 24.54W (CPU: 0.03W, RAM: 2.56W, GPU: 21.95W)
Round 2, cluster_generation_complete: 24.51W (CPU: 0.00W, RAM: 2.56W, GPU: 21.95W)
Round 2, node_1_training_start: 24.51W (CPU: 0.00W, RAM: 2.56W, GPU: 21.95W)
Round 2, node_1_training_complete: 112.05W (CPU: 1.83W, RAM: 2.63W, GPU: 107.59W)
Round 2, node_1_smpc_start: 110.22W (CPU: 0.00W, RAM: 2.63W, GPU: 107.59W)
Round 2, node_1_smpc_complete: 22.75W (CPU: 0.09W, RAM: 2.60W, GPU: 20.06W)
Round 2, node_2_training_start: 22.79W (CPU: 0.03W, RAM: 2.60W, GPU: 20.17W)
Round 2, node_2_training_complete: 113.00W (CPU: 1.95W, RAM: 2.66W, GPU: 108.39W)
Round 2, node_2_smpc_start: 111.05W (CPU: 0.00W, RAM: 2.66W, GPU: 108.39W)
Round 2, node_2_smpc_complete: 22.93W (CPU: 0.09W, RAM: 2.63W, GPU: 20.21W)
Round 2, node_3_training_start: 22.36W (CPU: 0.00W, RAM: 2.62W, GPU: 19.74W)
Round 2, node_3_training_complete: 126.69W (CPU: 1.98W, RAM: 2.70W, GPU: 122.01W)
Round 2, node_3_smpc_start: 124.71W (CPU: 0.00W, RAM: 2.70W, GPU: 122.01W)
Round 2, node_3_smpc_complete: 22.90W (CPU: 0.09W, RAM: 2.65W, GPU: 20.15W)
Round 2, aggregation_start: 22.17W (CPU: 0.00W, RAM: 2.65W, GPU: 19.51W)
Round 2, aggregation_complete: 27.98W (CPU: 1.50W, RAM: 2.65W, GPU: 23.82W)
Round 3, cluster_generation_start: 24.22W (CPU: 0.03W, RAM: 2.66W, GPU: 21.53W)
Round 3, cluster_generation_complete: 24.19W (CPU: 0.00W, RAM: 2.66W, GPU: 21.53W)
Round 3, node_1_training_start: 24.19W (CPU: 0.00W, RAM: 2.66W, GPU: 21.53W)
Round 3, node_1_training_complete: 121.09W (CPU: 2.01W, RAM: 2.72W, GPU: 116.36W)
Round 3, node_1_smpc_start: 119.08W (CPU: 0.00W, RAM: 2.72W, GPU: 116.36W)
Round 3, node_1_smpc_complete: 22.57W (CPU: 0.09W, RAM: 2.66W, GPU: 19.81W)
Round 3, node_2_training_start: 22.98W (CPU: 0.00W, RAM: 2.66W, GPU: 20.32W)
Round 3, node_2_training_complete: 118.26W (CPU: 2.04W, RAM: 2.74W, GPU: 113.48W)
Round 3, node_2_smpc_start: 116.22W (CPU: 0.00W, RAM: 2.74W, GPU: 113.48W)
Round 3, node_2_smpc_complete: 23.15W (CPU: 0.09W, RAM: 2.72W, GPU: 20.34W)
Round 3, node_3_training_start: 22.64W (CPU: 0.00W, RAM: 2.72W, GPU: 19.93W)
Round 3, node_3_training_complete: 127.26W (CPU: 1.98W, RAM: 2.79W, GPU: 122.49W)
Round 3, node_3_smpc_start: 125.28W (CPU: 0.00W, RAM: 2.79W, GPU: 122.49W)
Round 3, node_3_smpc_complete: 23.28W (CPU: 0.09W, RAM: 2.76W, GPU: 20.43W)
Round 3, aggregation_start: 22.38W (CPU: 0.03W, RAM: 2.76W, GPU: 19.59W)
Round 3, aggregation_complete: 27.66W (CPU: 1.47W, RAM: 2.76W, GPU: 23.43W)
Round 4, cluster_generation_start: 23.08W (CPU: 0.03W, RAM: 2.77W, GPU: 20.28W)
Round 4, cluster_generation_complete: 23.05W (CPU: 0.00W, RAM: 2.77W, GPU: 20.28W)
